question,answer
"How do I reset my password?","To reset your password, click on the 'Forgot Password' link on the login page. You'll receive an email with instructions to set a new password."
"What payment methods do you accept?","We accept Visa, Mastercard, American Express, and PayPal. All payments are processed securely through our payment gateway."
"How do I track my order?","You can track your order by logging into your account and visiting the 'Order History' section. Click on the specific order to see its current status and tracking information."
"What is your return policy?","Our return policy allows returns within 30 days of purchase. Items must be in original condition with tags attached. Please fill out the return form in your order confirmation email to start the process."
"How long does shipping take?","Standard shipping typically takes 3-5 business days within the continental US. Express shipping (1-2 business days) is available for an additional fee. International shipping times vary by destination."
"Do you offer international shipping?","Yes, we ship to most countries worldwide. International shipping costs and delivery times vary based on the destination. You can see the specific shipping options during checkout."
"How do I cancel my subscription?","To cancel your subscription, log in to your account, go to 'Subscription Settings', and click on 'Cancel Subscription'. Follow the prompts to complete the cancellation process."
"Is my personal information secure?","Yes, we take data security seriously. We use industry-standard encryption protocols to protect your personal information. We never share your data with third parties without your consent."
"How do I contact customer support?","You can contact our customer support team via email at support@example.com, through the live chat on our website, or by calling our support line at 1-800-123-4567 during business hours (9 AM - 5 PM EST, Monday-Friday)."
"Do you offer discounts for bulk orders?","Yes, we offer volume discounts for bulk orders. Please contact our sales team at sales@example.com with your requirements to get a custom quote."
"Can I change my shipping address?","You can change your shipping address before the order is processed by contacting support at support@example.com."
"What happens if my order is damaged?","If your order arrives damaged, please contact us within 7 days with photos of the damage to initiate a replacement or refund."
"How do I apply a discount code?","Enter your discount code at checkout in the 'Promo Code' field. The discount will be applied to eligible items in your cart."
"What if I receive the wrong item?","If you receive the wrong item, contact support within 7 days with your order number and photos of the item received. We'll arrange a replacement or refund."
"Do you offer gift cards?","Yes, we offer digital gift cards in various denominations. Purchase them on our website and send them via email to the recipient."
